Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.475,1.548,16,19-Dec-11,19-Dec-11,0.305,-13.16,-9.7682,-0.05421,0.04568,0.00142,0,0,0.27,0.34,GBPAUD_98,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.47,1.55,16,19-Dec-11,19-Dec-11,0.35875,-15.23,-10.19,-0.05661,0.04714,0.00191,0,0,0.3225,0.395,GBPAUD_99,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.465,1.552,16,19-Dec-11,19-Dec-11,0.40875,-16.81,-10.25,-0.05695,0.04707,0.00238,0,0,0.3725,0.445,GBPAUD_100,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.46,1.554,16,19-Dec-11,19-Dec-11,0.45625,-17.95,-10.07,-0.05597,0.04607,0.00282,0,0,0.42,0.4925,GBPAUD_101,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.461,1.556,16,19-Dec-11,19-Dec-11,0.48125,-16.93,-10.56,-0.05841,0.04795,0.00276,0,0,0.445,0.5175,GBPAUD_102,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.462,1.558,16,19-Dec-11,19-Dec-11,0.50375,-15.86,-11,-0.06059,0.04962,0.00267,0,0,0.4675,0.54,GBPAUD_103,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.463,1.56,16,19-Dec-11,19-Dec-11,0.52625,-14.74,-11.39,-0.06251,0.05106,0.00255,0,0,0.49,0.5625,GBPAUD_104,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.458,1.562,16,19-Dec-11,19-Dec-11,0.57125,-15.49,-10.89,-0.05978,0.04869,0.00288,0,0,0.535,0.6075,GBPAUD_105,0
03-Dec-11,GBPAUD,GBP,AUD,DNT,,1.5268,,1.453,1.564,16,19-Dec-11,19-Dec-11,0.60875,-15.95,-10.34,-0.05678,0.04618,0.00315,0,0,0.5725,0.645,GBPAUD_106,0
03-Dec-11,GBPAUD,GBP,AUD,DOT,,1.5268,,1.52,1.53,16,19-Dec-11,19-Dec-11,0.99875,0.00001,0,0,0.00002,-0.00035,0,0,0.9978,0.9997,GBPAUD_107,0
